date,rocket_name,launch_site,orbit,payload_mass,satellite_name,outcome
2019-12-11,PSLV,Satish Dhawan Space Centre,LEO,22.0,1HOPSAT-TD (1st-generation High Optical Performance Satellite),Success
2023-01-03,Falcon 9,Cape Canaveral,LEO,4.0,AAC AIS-Sat1 (Kelpie 1),Success
2017-06-23,PSLV,Satish Dhawan Space Centre,LEO,4.5,Aalto-1 ,Success
2016-04-25,Soyuz-2.1a,Guiana Space Center,LEO,1.0,AAt-4,Success
2014-02-06,Ariane 5 ECA,Guiana Space Center,GEO,6330.0,"ABS-2 (Koreasat-8, ST-3)",Success
2016-06-15,Falcon 9,Cape Canaveral,GEO,1800.0,ABS-2A,Success
2015-03-02,Falcon 9,Cape Canaveral,GEO,2000.0,ABS-3A ,Success
2004-03-13,Atlas 3,Cape Canaveral,GEO,4143.0,"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Success
1999-09-26,Proton,Baikonur Cosmodrome,GEO,2894.0,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Success
2021-03-22,Soyuz-2.1a,Baikonur Cosmodrome,LEO,9.0,Adelis-Sampson 1,Success
2021-03-22,Soyuz-2.1a,Baikonur Cosmodrome,LEO,9.0,Adelis-Sampson 2,Success
2021-03-22,Soyuz-2.1a,Baikonur Cosmodrome,LEO,9.0,Adelis-Sampson 3,Success
2023-04-15,Falcon 9,Vandenberg AFB,LEO,11.5,ADLER-2,Success
2020-12-11,Delta 4 Heavy,Cape Canaveral,GEO,5400.0,"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",Success
1998-05-09,Titan IVA,Cape Canaveral,GEO,5200.0,"Advanced Orion 4 (Mentor, NROL 6, USA 139)",Success
2003-09-09,Titan IV,Cape Canaveral,GEO,5200.0,"Advanced Orion 5 (Mentor, NROL 19, USA 171)",Success
2009-01-18,Delta 4 Heavy,Cape Canaveral,GEO,5400.0,"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",Success
2010-11-21,Delta 4 Heavy,Cape Canaveral,GEO,5000.0,"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",Success
2012-06-29,Delta 4 Heavy,Cape Canaveral,GEO,5000.0,"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",Success
2016-06-11,Delta 4 Heavy,Cape Canaveral,GEO,5000.0,"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",Success
2013-09-18,Atlas 5,Cape Canaveral,GEO,6169.0,"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",Success
2018-10-17,Atlas 5,Cape Canaveral,GEO,6169.0,"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",Success
